Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Rodrigo Bentancur,uy URU,MF,Tottenham,27-317,23,19,1518.0,2,0,7,0,1.3,0.4,26,99,34,0.12,0.0,0.08,0.03,N/a,N/a,N/a,N/a,22.7,0.3,0.09,17.4,916,88.1,14862,91.1,92.7,75.4,10,107,12,2,99,2.67,36,0.18,3,38,20,39,20,24,8,16,36,1252,70,299,747,215,24,18,8,44.4,739,1446,26,23,5,18,19,826,34,31,10,1,4,111,35,27,56.5,€31.5M
Rodrigo Muniz,br BRA,FW,Fulham,24-004,31,8,964.0,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,0.07,N/a,N/a,N/a,N/a,48.7,1.77,0.21,12.0,92,64.8,1540,67.6,68.9,84.6,7,13,3,0,27,1.59,10,0.19,1,10,5,4,0,9,2,7,5,311,14,27,161,127,55,18,6,50.0,157,187,6,4,3,47,24,237,31,11,31,3,1,14,67,63,51.5,€8.2M
Ryan Christie,sct SCO,MF,Bournemouth,30-075,29,27,2117.0,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,0.15,N/a,N/a,N/a,N/a,36.4,0.51,0.06,19.6,837,79.3,14882,88.2,87.9,48.8,41,118,33,5,137,3.62,72,0.38,8,54,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,23,45.8,726,1773,34,40,8,44,25,777,44,43,31,1,48,182,20,28,41.7,€16.2M
Ryan Gravenberch,nl NED,MF,Liverpool,22-357,34,34,2921.0,0,4,5,0,1.0,2.9,65,168,54,0.0,0.12,0.03,0.09,N/a,N/a,N/a,N/a,27.8,0.15,0.0,24.7,1595,88.9,23774,92.5,91.7,60.8,25,140,32,1,168,2.0,57,0.18,6,65,34,51,21,34,10,24,57,2176,104,446,1274,485,23,75,36,37.3,1286,3408,65,71,9,48,21,1548,54,42,46,0,6,182,26,14,65.0,€85.3M
Ryan Manning,ie IRL,"DF,MF",Southampton,28-328,23,18,1459.0,0,1,2,0,0.3,3.2,14,35,74,0.0,0.06,0.02,0.2,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.0,619,77.2,10360,92.2,80.9,44.4,34,33,12,8,35,3.08,25,0.18,0,28,17,26,12,20,11,9,17,965,70,258,396,321,22,36,11,44.4,482,977,14,13,4,17,5,572,74,19,32,0,84,65,15,5,75.0,€3.9M
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-168,32,18,1874.0,2,1,10,0,2.3,1.1,17,48,14,0.1,0.05,0.11,0.05,N/a,N/a,N/a,N/a,28.1,0.43,0.06,19.3,592,81.7,8715,87.7,85.8,56.6,17,46,4,0,48,1.73,25,0.14,2,41,21,37,20,35,9,26,26,1001,77,266,488,257,40,18,9,27.8,408,888,17,18,1,23,18,526,14,52,49,6,5,95,44,30,59.5,€18.3M
Rúben Dias,pt POR,DF,Manchester City,27-359,24,22,2001.0,0,0,4,0,1.4,0.3,35,122,6,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,27.8,0.22,0.0,19.2,1943,93.6,33548,97.0,96.3,66.9,5,189,5,0,122,0.99,15,0.04,1,16,10,11,4,17,14,3,18,2230,195,749,1231,255,22,3,2,33.3,1592,5295,35,54,1,7,1,1815,6,12,8,0,3,68,30,31,49.2,€58.5M
Sam Morsy,eg EGY,MF,Ipswich Town,33-240,30,28,2486.0,1,1,10,0,0.3,0.8,16,104,9,0.04,0.04,0.01,0.03,N/a,N/a,N/a,N/a,22.2,0.07,0.11,26.3,1103,86.2,17664,93.2,91.3,57.4,18,132,13,2,104,1.45,35,0.07,2,62,36,57,31,32,13,19,28,1498,88,447,855,210,4,21,12,33.3,761,1783,16,20,2,15,10,999,9,45,24,0,12,138,17,23,42.5,€1.3M
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-226,19,13,979.0,4,0,2,0,3.4,0.2,16,18,46,0.37,0.0,0.31,0.02,N/a,N/a,N/a,N/a,57.1,1.1,0.19,14.0,144,74.2,2402,87.0,84.4,51.7,4,10,4,1,18,0.83,7,0.0,0,15,9,23,17,10,2,8,6,309,17,80,119,116,33,12,4,50.0,174,399,16,8,7,24,17,189,46,9,8,8,13,41,6,11,35.3,€14.1M
Sander Berge,no NOR,MF,Fulham,27-083,28,24,2091.0,0,0,5,0,0.2,0.6,27,116,8,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.0,7.6,1017,91.4,18059,91.7,94.6,83.5,17,105,4,0,116,1.76,36,0.09,2,48,28,37,12,26,8,18,20,1291,76,354,737,206,13,20,11,30.0,754,1856,27,22,2,12,15,836,8,29,8,0,3,118,27,20,57.4,€27.8M
Sandro Tonali,it ITA,MF,Newcastle Utd,25-000,33,25,2360.0,3,2,5,0,3.7,1.4,33,116,48,0.11,0.08,0.14,0.05,N/a,N/a,N/a,N/a,31.3,0.38,0.09,19.6,1136,83.5,17948,89.8,87.0,61.8,20,91,26,4,116,2.32,44,0.3,8,47,30,44,22,32,10,22,33,1624,63,372,896,382,41,35,19,37.1,877,2014,33,34,5,27,23,1126,48,36,44,2,31,163,12,11,52.2,€52.9M
Santiago Bueno,uy URU,DF,Wolves,26-180,28,18,1683.0,0,0,2,0,0.4,0.0,1,28,1,0.0,0.0,0.02,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.0,14.0,741,88.0,13598,92.5,93.9,56.0,0,24,2,0,28,0.64,10,0.21,3,40,21,22,5,35,20,15,15,1023,169,520,485,21,6,4,0,100.0,555,1430,1,2,0,2,2,660,1,26,5,0,0,43,35,31,53.0,€11.2M
Saša Lukić,rs SRB,MF,Fulham,28-268,28,26,2169.0,0,2,12,0,1.2,2.6,37,92,29,0.0,0.08,0.05,0.11,N/a,N/a,N/a,N/a,11.8,0.08,0.0,20.1,1027,87.7,17364,91.9,92.0,70.3,23,97,15,6,92,2.08,32,0.12,2,66,37,53,32,19,7,12,26,1394,50,303,797,307,18,17,8,29.4,775,2083,37,39,4,22,8,897,29,62,26,0,55,107,18,24,42.9,€12.1M
Sepp van den Berg,nl NED,DF,Brentford,23-139,28,26,2316.0,0,0,2,0,1.7,0.5,10,72,27,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,31.3,0.19,0.0,10.6,958,84.7,16548,87.7,89.1,62.5,5,57,3,1,72,0.82,19,0.08,1,37,22,27,9,50,36,14,20,1430,252,728,547,159,42,7,4,42.9,636,1663,10,9,1,14,7,806,27,20,5,1,7,87,84,66,56.0,€26.4M
Simon Adingra,ci CIV,"FW,MF",Brighton,23-127,26,10,956.0,2,1,0,0,2.2,1.8,37,14,119,0.19,0.09,0.21,0.17,N/a,N/a,N/a,N/a,28.0,0.66,0.08,16.2,255,76.1,3699,87.0,74.0,55.6,13,5,12,5,14,3.68,27,0.66,5,23,14,22,12,12,0,12,8,488,8,63,158,272,64,48,21,56.3,324,1042,37,17,20,35,11,341,119,11,3,2,35,41,6,3,66.7,€34M
Son Heung-min,kr KOR,FW,Tottenham,32-304,28,23,2004.0,7,9,1,0,7.0,8.2,87,104,259,0.31,0.4,0.31,0.37,N/a,N/a,N/a,N/a,45.3,1.08,0.11,17.0,703,79.0,9833,89.7,80.0,48.0,50,36,51,6,104,5.21,86,0.67,13,17,9,23,18,10,0,10,5,1093,15,110,347,646,117,82,29,48.8,732,2334,87,45,40,25,29,837,259,5,28,11,75,81,6,11,35.3,
Stefan Ortega,de GER,GK,Manchester City,32-183,13,12,1100.0,0,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.47,68.0,25.0,0.0,,0.0,,,373,81.3,8327,97.1,96.9,51.3,0,6,0,0,0,0.0,0,0.0,0,0,0,1,1,0,0,0,0,492,383,489,3,0,0,0,0,,323,864,0,0,0,0,0,309,0,1,2,0,0,8,2,0,100.0,€5.8M
Stephy Mavididi,eng ENG,FW,Leicester City,26-342,30,16,1615.0,4,1,2,0,1.8,2.6,91,57,138,0.22,0.06,0.1,0.15,N/a,N/a,N/a,N/a,26.9,0.39,0.15,16.1,460,75.0,6191,91.1,67.4,41.9,22,32,26,7,57,2.78,39,0.39,6,34,19,42,28,26,2,24,11,863,23,132,327,421,61,95,35,49.5,583,2355,91,40,27,39,35,623,138,18,18,3,69,83,9,15,37.5,€12.9M
Sávio,br BRA,"FW,MF",Manchester City,21-028,27,21,1734.0,1,8,3,0,4.9,6.8,133,66,239,0.05,0.42,0.25,0.35,N/a,N/a,N/a,N/a,38.9,1.09,0.02,17.7,676,80.9,10078,89.8,80.1,57.4,44,19,47,8,66,5.55,76,0.78,10,22,16,18,9,13,2,11,6,1071,14,55,281,754,149,111,51,35.1,766,3494,133,44,73,42,37,834,239,17,27,3,81,79,1,2,33.3,€74.8M
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-098,32,30,2654.0,1,0,9,0,1.8,1.0,29,119,9,0.03,0.0,0.06,0.03,N/a,N/a,N/a,N/a,40.0,0.27,0.05,10.6,1807,87.9,33577,92.9,91.8,64.4,14,171,10,1,119,1.25,32,0.07,1,27,19,34,15,60,38,22,30,2349,313,1089,1092,178,40,3,3,0.0,1361,3731,29,27,0,15,5,1704,9,34,14,0,10,120,56,42,57.1,€29.9M
Thomas Partey,gh GHA,"MF,DF",Arsenal,31-329,32,28,2527.0,4,2,4,0,2.0,1.9,32,171,47,0.14,0.07,0.07,0.07,N/a,N/a,N/a,N/a,30.4,0.25,0.17,19.5,1525,87.3,24370,92.9,88.6,66.4,17,151,33,2,171,2.07,48,0.46,8,80,49,72,28,25,7,18,33,1989,66,418,1098,485,28,33,22,27.3,1125,3235,32,37,3,22,16,1416,47,40,28,1,12,123,26,22,54.2,
Timothy Castagne,be BEL,DF,Fulham,29-154,24,17,1649.0,0,1,1,0,0.4,1.2,17,62,67,0.0,0.05,0.02,0.07,N/a,N/a,N/a,N/a,37.5,0.16,0.0,14.0,780,81.8,12441,89.8,85.9,49.3,9,51,5,3,62,1.36,21,0.16,2,46,29,45,19,15,6,9,22,1164,92,449,462,259,32,12,5,41.7,547,1044,17,15,2,15,5,665,67,15,6,1,37,57,34,35,49.3,€17.4M
Tomáš Souček,cz CZE,MF,West Ham,30-070,32,27,2330.0,8,1,8,0,6.0,1.0,6,70,65,0.31,0.04,0.23,0.04,N/a,N/a,N/a,N/a,26.9,0.54,0.15,12.0,656,73.7,10935,79.7,76.3,68.9,14,59,8,1,70,1.66,35,0.12,2,42,19,39,17,35,17,18,18,1168,110,315,577,280,97,11,6,45.5,449,470,6,10,3,17,13,696,65,44,24,4,13,57,95,68,58.3,€23.2M
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-226,20,13,1229.0,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,N/a,N/a,N/a,N/a,16.7,0.15,0.08,12.5,988,91.4,18105,95.7,94.9,61.1,1,53,1,0,37,0.88,7,0.07,0,14,10,12,4,9,7,2,10,1198,160,570,603,26,13,5,4,0.0,713,1690,5,2,0,3,0,916,1,8,6,1,0,34,36,26,58.1,€24.3M
Toti Gomes,pt POR,DF,Wolves,26-112,28,27,2344.0,0,1,6,0,0.7,0.9,21,67,15,0.0,0.04,0.03,0.04,N/a,N/a,N/a,N/a,28.6,0.08,0.0,11.6,1272,85.1,21197,91.3,92.4,49.3,9,72,5,3,67,0.77,19,0.04,1,53,38,37,7,28,17,11,23,1772,207,847,851,95,15,28,19,25.0,1028,2641,21,18,0,16,13,1202,15,23,14,4,13,100,48,24,66.7,€18.6M
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-213,31,28,2296.0,3,6,5,0,1.8,6.7,50,221,90,0.12,0.24,0.07,0.26,N/a,N/a,N/a,N/a,18.6,0.31,0.07,23.3,1397,73.6,26692,89.9,76.2,48.6,50,198,63,20,221,3.68,72,0.39,9,70,49,103,55,26,9,17,30,2173,86,578,976,633,44,35,16,48.6,1139,2780,50,35,9,19,15,1384,90,11,8,1,145,129,3,13,18.8,€55.8M
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-307,12,12,1060.0,3,0,1,0,1.2,0.4,11,34,6,0.25,0.0,0.1,0.03,N/a,N/a,N/a,N/a,36.4,0.34,0.27,15.1,349,79.0,6831,88.7,85.2,51.2,4,27,2,1,34,0.93,10,0.0,0,20,16,23,11,19,9,10,19,594,66,275,276,51,14,10,6,20.0,278,661,11,9,1,4,7,317,6,10,15,1,7,56,22,19,53.7,€20.1M
Tyler Adams,us USA,MF,Bournemouth,26-083,25,18,1710.0,0,3,7,0,1.6,1.0,12,65,9,0.0,0.16,0.08,0.05,N/a,N/a,N/a,N/a,25.0,0.11,0.0,16.1,757,83.6,11872,88.7,88.0,54.7,16,57,2,1,65,1.95,32,0.21,3,75,46,66,31,33,10,23,32,1151,53,308,661,194,17,16,3,56.3,554,1183,12,17,1,27,12,630,9,41,19,0,3,100,29,17,63.0,€24.4M
Tyler Dibling,eng ENG,"FW,MF",Southampton,19-057,31,18,1742.0,2,0,6,0,2.5,1.5,68,61,93,0.1,0.0,0.13,0.08,N/a,N/a,N/a,N/a,32.1,0.46,0.07,19.3,472,80.7,7050,90.2,85.1,43.5,20,25,20,1,61,2.89,34,0.21,2,34,20,26,10,19,5,14,8,823,25,110,372,360,41,104,44,36.5,533,2129,68,49,26,41,53,617,93,28,49,2,28,75,10,21,32.3,€32.7M
Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-249,35,35,2942.0,0,4,2,0,1.2,5.7,56,64,166,0.0,0.12,0.04,0.18,N/a,N/a,N/a,N/a,18.2,0.06,0.0,13.4,929,72.3,14968,84.5,75.1,42.2,38,46,32,15,64,2.11,62,0.18,5,87,54,42,20,62,12,50,14,1656,108,573,637,459,42,33,13,48.5,766,1590,56,33,9,36,28,850,166,20,24,2,100,156,18,21,46.2,€24.6M
Tyrone Mings,eng ENG,DF,Aston Villa,32-056,13,11,1051.0,0,0,1,0,0.8,0.2,6,39,0,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,11.1,0.09,0.0,11.8,581,88.6,10405,92.7,94.3,54.0,3,47,5,0,39,1.45,14,0.17,1,6,5,2,0,13,11,2,7,767,139,388,340,43,15,2,2,0.0,472,1333,6,12,0,3,1,523,0,3,9,0,1,33,26,21,55.3,€5.8M
Valentino Livramento,eng ENG,DF,Newcastle Utd,22-177,34,29,2570.0,0,1,1,0,0.2,2.3,73,144,98,0.0,0.04,0.01,0.08,N/a,N/a,N/a,N/a,20.0,0.04,0.0,20.6,1278,85.0,18914,90.6,86.3,57.0,21,98,24,5,144,1.37,37,0.07,2,52,34,56,26,34,10,24,21,1796,108,572,822,427,33,48,21,41.7,935,2984,73,39,11,26,34,1041,98,6,34,2,45,173,23,31,42.6,€49.3M
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-143,28,28,2380.0,0,1,1,0,0.3,1.4,39,69,75,0.0,0.04,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,17.7,1007,77.6,16181,89.6,80.1,41.4,18,74,23,18,69,1.55,32,0.11,3,85,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,8,47.1,800,1806,39,25,5,13,12,872,75,17,17,3,96,97,19,42,31.1,€23.9M
Virgil van Dijk,nl NED,DF,Liverpool,33-304,35,35,3150.0,3,1,4,0,2.2,0.7,18,180,6,0.09,0.03,0.06,0.02,N/a,N/a,N/a,N/a,29.6,0.23,0.11,13.1,2543,91.6,46352,96.1,95.5,67.2,12,269,6,0,180,1.34,40,0.11,4,35,17,20,9,25,14,11,54,3125,425,1257,1719,159,48,5,3,40.0,1746,4531,18,22,3,9,5,2153,6,16,12,0,1,110,111,46,70.7,€24.3M
Vitaliy Mykolenko,ua UKR,DF,Everton,25-344,32,32,2812.0,0,1,3,0,0.4,1.6,31,105,90,0.0,0.03,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,20.5,908,74.4,15184,89.0,74.2,44.7,20,96,37,22,105,1.22,36,0.1,2,55,33,51,25,24,9,15,37,1541,115,480,656,416,30,20,8,45.0,636,1432,31,27,1,21,10,783,90,20,28,3,91,79,46,36,56.1,€33.5M
Vitaly Janelt,de GER,MF,Brentford,26-363,32,27,2254.0,1,3,3,0,0.8,2.2,17,80,38,0.04,0.12,0.03,0.09,N/a,N/a,N/a,N/a,28.6,0.16,0.07,17.7,872,82.5,14466,90.6,85.4,55.9,14,78,23,7,80,1.28,31,0.12,3,38,22,36,15,33,9,24,27,1289,118,418,574,306,32,12,3,58.3,652,1278,17,18,3,16,10,814,38,24,15,1,30,107,19,11,63.3,€27.1M
Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-166,18,12,926.0,0,1,1,0,0.5,1.6,38,8,65,0.0,0.1,0.05,0.16,N/a,N/a,N/a,N/a,14.3,0.1,0.0,18.3,153,60.5,2416,80.4,65.4,38.9,10,8,8,7,8,1.55,12,0.1,1,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,9,58.3,216,696,38,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6,€2.1M
Wesley Fofana,fr FRA,DF,Chelsea,24-142,14,14,1172.0,0,0,7,0,0.4,0.4,19,32,4,0.0,0.0,0.03,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.0,10.6,724,90.2,12262,93.9,92.5,61.9,6,54,1,0,32,1.15,12,0.0,0,13,12,14,8,14,9,5,14,933,81,370,523,55,10,15,8,20.0,557,1614,19,12,1,16,5,665,4,24,16,0,1,54,27,12,69.2,€30.3M
Wilfred Ndidi,ng NGA,MF,Leicester City,28-143,26,26,2147.0,0,4,8,0,2.0,1.8,17,65,75,0.0,0.17,0.09,0.08,N/a,N/a,N/a,N/a,36.4,0.34,0.0,13.9,775,80.3,11104,87.0,82.1,54.5,15,62,10,3,65,1.13,25,0.13,3,81,50,54,27,47,19,28,26,1298,113,430,634,246,60,32,13,53.1,628,1029,17,23,2,34,33,772,75,39,17,3,30,121,55,55,50.0,€20.3M
Will Hughes,eng ENG,MF,Crystal Palace,30-021,30,21,1899.0,0,3,11,0,1.0,2.7,19,83,24,0.0,0.14,0.05,0.13,N/a,N/a,N/a,N/a,5.0,0.05,0.0,22.5,672,75.8,10702,88.8,82.5,35.8,29,69,14,3,83,2.89,38,0.28,2,61,33,59,32,30,14,16,19,1096,42,259,562,287,15,14,4,42.9,478,1132,19,22,1,20,24,606,24,60,30,0,68,110,17,17,50.0,€11.1M
William Saliba,fr FRA,DF,Arsenal,24-045,33,33,2904.0,2,0,2,1,2.3,0.9,16,134,6,0.06,0.0,0.07,0.03,N/a,N/a,N/a,N/a,33.3,0.06,0.33,5.4,2320,94.2,39927,95.7,96.0,79.9,7,175,6,0,134,0.81,24,0.03,1,60,36,27,6,24,15,9,21,2717,178,1072,1519,141,18,19,12,31.6,1675,4013,16,17,1,18,7,2056,6,28,17,1,3,146,58,35,62.4,€79.5M
Wout Faes,be BEL,DF,Leicester City,27-035,31,27,2545.0,1,0,4,0,1.4,0.1,12,80,1,0.04,0.0,0.05,0.0,N/a,N/a,N/a,N/a,9.1,0.04,0.09,10.0,1252,87.7,23226,93.8,95.0,53.7,4,79,6,0,80,0.6,15,0.0,0,39,23,43,20,45,33,12,26,1735,277,852,824,67,26,6,5,16.7,1011,2703,12,13,2,16,6,1154,1,21,10,1,5,87,41,34,54.7,€25M
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-290,29,17,1587.0,6,4,6,0,4.0,4.7,71,40,163,0.34,0.23,0.22,0.27,N/a,N/a,N/a,N/a,50.0,0.85,0.2,13.5,297,62.3,4794,78.3,61.9,47.5,25,13,29,8,40,3.07,31,0.62,5,45,32,45,28,20,0,20,11,723,30,129,204,408,121,84,40,44.0,410,1768,71,19,56,44,21,423,163,20,10,4,76,75,16,32,33.3,€42.6M
Yasin Ayari,se SWE,MF,Brighton,21-214,31,19,1759.0,1,1,3,0,2.2,2.2,30,69,59,0.05,0.05,0.11,0.11,N/a,N/a,N/a,N/a,28.0,0.36,0.04,19.0,713,81.2,10693,91.5,84.7,37.1,28,52,17,4,69,2.97,35,0.31,4,54,29,51,30,23,6,17,20,1119,52,247,569,320,43,41,17,36.6,585,1398,30,25,6,34,21,716,59,33,23,3,64,107,14,20,41.2,€21.4M
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-068,28,12,1196.0,0,0,5,0,0.6,0.9,15,52,44,0.0,0.0,0.05,0.07,N/a,N/a,N/a,N/a,22.2,0.15,0.0,15.9,535,85.5,9305,86.4,88.4,83.8,9,62,7,4,52,1.66,19,0.15,2,39,24,46,23,24,7,17,10,794,52,219,411,179,15,21,10,42.9,410,748,15,17,3,24,16,493,44,13,9,2,16,92,8,7,53.3,€18M
Yoane Wissa,cd COD,FW,Brentford,28-247,32,31,2650.0,18,3,2,0,16.5,1.8,51,57,135,0.61,0.1,0.56,0.06,N/a,N/a,N/a,N/a,46.3,1.26,0.23,13.4,408,76.1,5924,85.1,75.3,57.8,23,41,9,1,57,2.07,36,0.27,7,22,12,27,16,29,8,21,8,850,32,130,348,387,147,45,13,51.1,497,1452,51,23,28,70,29,599,135,28,47,14,20,67,29,34,46.0,€31.4M
Youri Tielemans,be BEL,MF,Aston Villa,28-001,35,35,2997.0,3,7,4,0,3.1,6.9,39,234,48,0.09,0.21,0.09,0.21,N/a,N/a,N/a,N/a,31.6,0.36,0.08,20.3,1679,82.1,28817,89.7,87.4,54.1,59,228,37,4,234,3.57,78,0.36,9,83,57,73,33,37,16,21,22,2361,100,472,1357,557,42,60,31,30.0,1275,2541,39,26,9,30,29,1654,48,41,56,0,118,145,22,18,55.0,€41.5M
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-314,29,15,1467.0,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,N/a,N/a,N/a,N/a,38.5,0.31,0.08,19.2,689,79.9,10831,88.2,82.9,47.9,17,43,21,9,68,2.39,30,0.06,1,29,16,30,12,17,7,10,10,1023,61,306,395,327,29,20,9,50.0,553,1354,32,15,7,18,4,692,76,15,9,4,69,40,5,9,35.7,€15.7M
Yves Bissouma,ml MLI,MF,Tottenham,28-251,25,16,1300.0,2,0,7,0,0.6,0.3,15,72,3,0.14,0.0,0.04,0.02,N/a,N/a,N/a,N/a,36.4,0.28,0.18,23.4,717,89.2,10833,92.7,92.9,63.2,6,59,10,1,72,1.04,14,0.0,0,47,29,33,15,9,6,3,16,981,63,282,554,151,5,21,7,66.7,577,1526,15,17,0,25,15,669,3,23,18,0,2,78,5,7,41.7,€29.8M
Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-334,15,11,955.0,0,1,2,0,0.2,1.3,26,34,34,0.0,0.09,0.02,0.12,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.7,308,72.0,4574,87.6,64.2,35.0,8,25,9,2,34,1.51,15,0.19,2,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,8,38.1,229,864,26,16,4,13,6,258,34,12,6,0,19,50,3,11,21.4,€11M
İlkay Gündoğan,de GER,MF,Manchester City,34-196,31,23,2050.0,0,5,1,0,2.7,2.8,57,115,86,0.0,0.22,0.12,0.12,N/a,N/a,N/a,N/a,20.0,0.22,0.0,18.3,1408,89.3,21666,94.4,91.9,62.9,37,97,21,2,115,3.25,58,0.48,9,24,13,23,13,14,0,14,13,1748,43,256,848,664,60,35,16,37.1,1035,2813,57,52,9,27,24,1366,86,15,21,0,57,105,13,11,54.2,€12.1M
Łukasz Fabiański,pl POL,GK,West Ham,40-020,13,12,1070.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.68,74.6,16.7,0.0,,0.0,,,304,67.0,8756,100.0,99.3,41.3,0,4,0,0,0,0.25,2,0.0,0,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,2,0.0,258,845,0,0,0,0,0,227,0,2,1,0,0,5,2,1,66.7,€0.9M
